Player,School,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,round,overall,year
A.J. Epenesa,Iowa,DL,77,275,5.04,32.5,17,117,7.34,4.46,1,54,2020
A.J. Stamps,Kentucky,S,71,193,4.79,33,15,115,7.17,4.25,0,,
Aaron Banks,Notre Dame,OL,77,325,5.32,31,24,100,7.69,4.89,1,48,2021
Aaron Burbridge,Michigan State,WR,73,206,4.56,30.5,20,115,7.22,4.31,1,213,2016
Aaron Davis,Colorado State,OLB,73,225,4.95,29,16,107,7.38,4.37,0,,
Aaron Donald,Pittsburgh,DT,73,285,4.68,32,35,116,7.11,4.39,1,13,2014
Aaron Jones,Texas-El Paso,RB,69,208,4.56,37.5,16,127,6.82,4.2,1,182,2017
Aaron Mellette,Elon,WR,74,217,4.54,33.5,9,123,7.11,4.41,1,238,2013
Aaron Parker,Rhode Island,WR,74,209,4.57,26.5,12,112,6.94,4.23,0,,
Aaron Robinson,Central Florida,CB,71,186,4.39,37,15,123,6.89,4.29,1,71,2021
Ace Sanders,South Carolina,WR,67,173,4.58,32,7,117,6.81,4.37,1,101,2013
Adam Bay,Wisconsin,LS,71,240,5.27,26,14,100,7.65,4.56,0,,
Adam Bisnowaty,Pittsburgh,OT,78,304,5.23,29.5,23,96,8.02,4.94,1,200,2017
Adam Krumholz,Wisconsin,WR,73,193,4.6,35.5,11,118,7.03,4.28,0,,
Adam Shaheen,Ashland,TE,78,278,4.79,32.5,24,121,7.09,4.38,1,45,2017
Adam Trautman,Dayton,TE,77,255,4.8,34.5,18,114,6.78,4.27,1,105,2020
Ade Aruna,Tulane,DE,78,262,4.6,38.5,18,128,7.53,4.48,1,218,2018
Adetokunbo Ogundeji,Notre Dame,DL,76,260,4.75,32,22,120,7.17,4.64,1,182,2021
Adolphus Washington,Ohio State,DT,75,301,5.17,27,21,99,8.06,4.79,1,80,2016
Adrian Bushell,Louisville,CB,69,186,4.58,33,17,116,6.92,4.25,0,,
Adrian Ealy,Oklahoma,OL,78,321,5.42,24.5,18,104,8.82,4.87,0,,
Adrian Hardy,Louisiana Tech,WR,73,205,4.61,37.5,12,124,6.96,4.5,0,,
Ahmad Dixon,Baylor,S,73,212,4.64,32,14,111,7.55,4.5,1,248,2014
AJ Parker,Kansas St.,CB,71,182,4.53,33.5,10,117,7.02,4.37,0,,
Akeem Spence,Illinois,DT,73,307,5.15,30,37,107,7.82,4.72,1,100,2013
Al Bond,Memphis,OG,76,303,5.57,23.5,22,90,7.9,4.65,0,,
Alani Fua,BYU,OLB,77,238,4.73,34.5,18,118,6.83,4.15,0,,
Albert Huggins,Clemson,DL,75,305,5.12,25.5,35,101,7.84,4.84,0,,
Albert Wilson,Georgia State,WR,69,202,4.43,37.5,10,123,7,4.21,0,,
Alec Ingold,Wisconsin,FB,73,242,4.89,34,16,116,7.35,4.32,0,,
Alec Lemon,Syracuse,WR,73,202,4.59,32,7,112,7.04,4.29,0,,
Alec Ogletree,Georgia,OLB,74,242,4.7,33.5,20,122,7.16,4.39,1,30,2013
Alex Anzalone,Florida,OLB,75,241,4.63,30.5,16,116,6.88,4.25,1,76,2017
Alex Barnes,Kansas State,RB,73,226,4.59,38.5,34,126,6.95,4.1,0,,
Alex Cappa,Humboldt State,OT,78,305,5.39,26.5,24,97,8.04,4.84,1,94,2018
Alex Carter,Stanford,CB,73,196,4.51,40,17,121,7.05,4.07,1,80,2015
Alex Lewis,Nebraska,OT,78,312,5.22,29.5,27,100,7.94,4.72,1,130,2016
Alex Redmond,UCLA,OG,77,294,5.3,28,30,111,7.75,4.9,0,,
Alex Taylor,South Carolina State,OL,80,308,5.09,25,21,116,7.77,4.79,0,,
Alex Wesley,Northern Colorado,WR,73,190,4.45,38.5,13,125,7.4,4.44,0,,
Alexander Mattison,Boise State,RB,71,221,4.67,35,22,127,7.13,4.29,1,102,2019
Alfred Blue,LSU,RB,74,223,4.63,32,13,121,7.15,4.5,1,181,2014
Alfred Morris,Florida Atlantic,RB,70,219,4.63,35.5,16,117,7.01,4.19,1,173,2012
Ali Marpet,Hobart & William Smith,OG,76,307,4.98,30.5,30,108,7.33,4.47,1,61,2015
Alijah Holder,Stanford,CB,73,191,4.6,36,9,121,6.7,4.15,0,,
Alijah Vera-Tucker,USC,OL,76,308,5.05,32,36,106,7.67,4.7,1,14,2021
Alize Mack,Notre Dame,TE,76,249,4.7,36,22,120,7.27,4.34,1,231,2019
Allen Hurns,Miami (FL),WR,73,198,4.55,31,14,120,7.23,4.5,0,,
Alohi Gilman,Notre Dame,S,70,201,4.6,32,17,119,6.81,4.08,1,186,2020
Alonzo Russell,Toledo,WR,76,206,4.54,29.5,12,112,7.18,4.33,0,,
Al-Quadin Muhammad,Miami (FL),DE,75,253,4.88,30.5,22,117,7.25,4.47,1,196,2017
Alton Robinson,Syracuse,DL,75,264,4.69,35.5,25,119,7.32,4.32,1,148,2020
Amani Hooker,Iowa,S,71,210,4.48,37,14,123,6.81,4.1,1,116,2019
Amani Oruwariye,Penn State,CB,74,205,4.47,36.5,17,120,6.82,4.16,1,146,2019
Amari Rodgers,Clemson,WR,69,212,4.52,33,19,121,7.07,4.31,1,85,2021
Amarlo Herrera,Georgia,ILB,73,244,4.83,32,23,111,7.35,4.27,1,207,2015
Amba Etta-Tawo,Syracuse,WR,73,208,4.49,31,14,126,6.95,4.32,0,,
Ameer Abdullah,Nebraska,RB,69,205,4.6,42.5,24,130,6.79,3.95,1,54,2015
Amen Ogbongbemiga,Oklahoma St.,LB,73,231,4.66,32,24,112,7.32,4.28,0,,
Amini Silatolu,Midwestern State,OG,76,311,5.33,31.5,28,107,7.95,4.87,1,40,2012
Amon-Ra St. Brown,USC,WR,71,197,4.51,38.5,20,127,6.88,4.17,1,112,2021
Andre Branch,Clemson,DE,76,259,4.67,32.5,19,120,7.19,4.25,1,38,2012
Andre Chachere,San Jose State,CB,73,200,4.49,38,13,123,6.78,4.07,0,,
Andre Dillard,Washington State,OT,77,315,4.96,29,24,118,7.44,4.4,1,22,2019
Andre Hal,Vanderbilt,CB,70,188,4.5,35.5,15,119,7.14,4.27,1,216,2014
Andre James,UCLA,OT,76,299,5.32,29,21,105,8,4.84,0,,
Andrew Billings,Baylor,DT,73,311,5.05,27.5,31,113,8.05,4.82,1,122,2016
Andrew Brown,Virginia,DE,76,296,5.03,28,31,101,7.51,4.48,1,158,2018
Andrew Donnal,Iowa,OT,78,313,5.31,32,17,101,7.84,4.77,1,119,2015
Andrew Thomas,Georgia,OL,77,315,5.22,30.5,21,109,7.58,4.66,1,4,2020
Andrew Tiller,Syracuse,OG,76,324,5.44,23,16,85,7.92,4.8,1,179,2012
Andrew Wingard,Wyoming,S,73,209,4.56,36.5,9,121,7.08,4.2,0,,
Andy Gallik,Boston Col.,C,74,306,5.5,27,29,96,7.66,4.58,1,208,2015
Andy Isabella,Massachusetts,WR,69,188,4.31,36.5,15,121,6.95,4.15,1,62,2019
Andy Janovich,Nebraska,FB,73,238,4.81,34,30,119,7.28,4.32,1,176,2016
Angelo Blackson,Auburn,DT,76,318,5.02,31,20,101,7.5,4.57,1,100,2015
Anthony Averett,Alabama,CB,73,185,4.36,31.5,13,119,6.93,4.4,1,118,2018
Anthony Barr,UCLA,OLB,77,255,4.66,34.5,15,119,6.82,4.19,1,9,2014
Anthony Brown,Purdue,CB,71,192,4.33,35,19,115,7.03,4.19,1,189,2016
Anthony Chickillo,Miami (FL),DE,75,267,4.79,34.5,27,114,7.17,4.25,1,212,2015
Anthony Hitchens,Iowa,OLB,73,240,4.74,31.5,23,116,7.15,4.45,1,119,2014
Anthony Jefferson,UCLA,S,73,198,4.72,33.5,15,116,7.18,4.15,0,,
Anthony Johnson,LSU,DT,74,308,5.24,24.5,20,102,7.93,4.83,0,,
Anthony Nelson,Iowa,DL,79,271,4.82,35.5,18,118,6.95,4.23,1,107,2019
Anthony Walker Jr.,Northwestern,ILB,73,238,4.65,30.5,23,116,7.23,4.34,1,161,2017
Anthony Zettel,Penn State,DT,76,277,4.81,30.5,28,109,7.63,4.39,1,202,2016
Antoine McClain,Clemson,OG,77,329,5.48,27,19,91,8.13,4.82,0,,
Antone Exum,Virginia Tech,CB,73,213,4.59,35,17,117,7.05,4.13,1,182,2014
Antonio Allen,South Carolina,S,73,210,4.58,34,17,118,7.02,4.25,1,242,2012
Antonio Andrews,Western Kentucky,RB,70,225,4.82,29.5,20,106,7.24,4.49,0,,
Antonio Fenelus,Wisconsin,CB,68,190,4.57,32,20,109,6.8,4.2,0,,
Antonio Gandy-Golden,Liberty,WR,76,223,4.6,36,22,127,7.33,4.55,1,142,2020
Antonio Garcia,Troy,OT,78,302,5.15,31,24,108,7.98,4.94,1,85,2017
Antonio Nunn,Buffalo,WR,71,204,4.5,33.5,15,120,7.12,4.32,0,,
Ar'Darius Washington,TCU,S,67,178,4.61,37.5,17,127,7.06,4.1,0,,
Arik Armstead,Oregon,DE,79,292,5.06,34,24,117,7.57,4.53,1,17,2015
Artavis Scott,Clemson,WR,70,193,4.61,31,13,116,7.19,4.49,0,,
Arthur Lynch,Georgia,TE,77,258,4.82,29.5,28,116,7.38,4.35,1,155,2014
Asa Jackson,Cal Poly,CB,70,191,4.48,34.5,19,118,6.97,4.03,1,169,2012
Asante Samuel Jr.,Florida St.,CB,70,180,4.45,35,12,124,6.95,4.13,0,,
A'Shawn Robinson,Alabama,DT,76,307,5.2,26,22,106,7.8,4.74,1,46,2016
Ashton Dulin,Malone University (Ohio),WR,73,215,4.43,38,13,121,7,4.22,0,,
Asim Rose,Kentucky,RB,73,215,4.51,34,24,120,7.25,4.62,0,,
Audie Cole,North Carolina State,ILB,76,246,4.76,35,15,114,6.96,4.29,1,210,2012
Austin Blythe,Iowa,C,74,298,5.36,27.5,29,99,7.52,4.53,1,248,2016
Austin Corbett,Nevada,OG,76,306,5.15,28,19,106,7.87,4.5,1,33,2018
Austin Franklin,New Mexico State,WR,71,189,4.56,36,7,124,7.07,4.33,0,,
Austin Hooper,Stanford,TE,76,254,4.72,33,19,117,7,4.32,1,81,2016
Austin Johnson,Penn State,DT,76,314,5.32,26,25,96,7.84,4.75,1,43,2016
Austin Shepherd,Alabama,OT,76,315,5.39,29,17,94,8.04,4.7,1,228,2015
Avery Gennesy,Texas A&M,OG,75,318,5.35,20,24,91,8.08,5,0,,
Avery Moss,Youngstown State,DE,75,264,4.79,32.5,14,114,7.25,4.43,1,167,2017
Avery Williams,Boise St.,CB,68,187,4.43,33.5,19,121,6.88,4,1,183,2021
Avery Williamson,Kentucky,ILB,73,246,4.66,30.5,25,120,7.11,4.07,1,151,2014
Avonte Maddox,Pittsburgh,CB,69,180,4.39,37,13,125,6.51,4,1,125,2018
Azeem Victor,Washington,ILB,73,240,4.72,32.5,19,115,7.2,4.4,1,216,2018
Azeez Ojulari,Georgia,OLB,74,249,4.63,30,26,127,7.27,4.34,1,50,2021
Azur Kamara,Kansas,LB,75,245,4.59,28,13,121,7.2,4.46,0,,
B.J. Goodson,Clemson,OLB,73,242,4.69,34.5,30,118,7.05,4.51,1,109,2016
B.J. Hill,North Carolina State,DT,76,311,4.99,26.5,35,101,7.28,4.53,1,69,2018
B.W. Webb,William & Mary,CB,70,184,4.51,40.5,14,132,6.82,3.84,1,114,2013
Bailey Gaither,San Jose St.,WR,73,188,4.45,31,9,121,7.07,4.39,0,,
Baron Browning,Ohio St.,LB,74,245,4.58,40,23,130,6.78,4.23,1,105,2021
Bashaud Breeland,Clemson,CB,71,197,4.62,34.5,11,123,7.04,4.33,1,102,2014
Beau Sandland,Montana State,TE,76,253,4.74,35,23,124,7.1,4.33,1,252,2016
Ben Banogu,TCU,EDGE,75,250,4.62,40,23,134,7.02,4.27,1,49,2019
Ben Braden,Michigan,OG,78,329,5.04,28,25,102,7.85,4.9,0,,
Ben Braunecker,Harvard,TE,75,250,4.73,35.5,20,121,6.9,4.2,0,,
Ben Burr-Kirven,Washington,LB,73,230,4.56,34.5,21,121,6.85,4.09,1,142,2019
Ben Gedeon,Michigan,ILB,74,244,4.75,34.5,27,119,6.98,4.13,1,120,2017
Ben Heeney,Kansas,ILB,73,231,4.59,33.5,19,120,6.68,4,1,140,2015
Ben Jones,Georgia,C,75,303,5.35,30.5,29,105,7.95,4.74,1,99,2012
Ben Knutson,Tulane,OL,79,301,5.27,24,12,99,8.01,4.85,0,,
Ben Mason,Michigan,TE,74,246,4.73,37.5,29,117,6.96,4.42,0,,
Benardrick McKinney,Mississippi State,ILB,76,246,4.66,40.5,16,121,7.21,4.27,1,43,2015
Bene' Benwikere,San Jose State,CB,71,195,4.59,40.5,10,122,6.94,4.38,1,148,2014
Beniquez Brown,Mississippi State,OLB,73,229,4.77,31,18,110,7.07,4.28,0,,
Benjamin St-Juste,Minnesota,CB,75,202,4.51,34.5,11,119,6.63,3.96,1,74,2021
Bennett Jackson,Notre Dame,CB,73,195,4.51,38,13,128,6.75,4,1,187,2014
Bennie Logan,LSU,DT,74,309,5.08,25,30,104,7.53,4.67,1,67,2013
Benny Snell,Kentucky,RB,70,224,4.66,29.5,16,119,7.07,4.33,1,122,2019
Bernard Pierce,Temple,RB,73,218,4.45,36.5,17,123,7.07,4.28,1,84,2012
Bill Bentley,Colorado,CB,70,182,4.42,31.5,13,114,6.99,4.5,1,85,2012
Billy Turner,North Dakota State,OT,77,315,5.16,28,25,108,7.92,4.71,1,67,2014
Billy Winn,Boise State,DE,76,294,4.86,27,24,107,7.37,4.44,1,205,2012
Bishop Sankey,Washington,RB,69,209,4.49,35.5,26,126,6.75,4,1,54,2014
Bisi Johnson,Colorado State,WR,73,204,4.51,38,14,124,6.88,4.16,1,247,2019
Bjoern Werner,Florida State,DE,75,266,4.83,31,25,111,7.3,4.4,1,24,2013
